X,Y,DEN,icon_url
26.9604383333333,45.9651216666667,borna 1,./0.png
26.9587216666667,45.9650716666667,c5,./0.png
26.9571883333333,45.965565,c4,./0.png
26.9558466666667,45.9646966666667,c3,./0.png
26.9548266666667,45.963635,c2,./0.png
26.95304,45.9646416666667,limit subparcela,./0.png
26.9532133333333,45.9647733333333,c1,./0.png
26.95298,45.96547,c1,./0.png
26.9536183333333,45.9659433333333,lac,./0.png
26.95504,45.9659566666667,c2,./0.png
26.9778666666667,45.9594366666667,h liziera,./0.png
26.977745,45.9594966666667,h lizierz,./0.png
26.9772916666667,45.95973,h,./0.png
26.9770533333333,45.9598666666667,h,./0.png
26.9768716666667,45.959905,h,./0.png
26.9767166666667,45.9598983333333,h,./0.png
26.9764733333333,45.9598166666667,h liziera,./0.png
26.9762233333333,45.9598583333333,h liziera,./0.png
26.9760033333333,45.9599333333333,h,./0.png
26.975835,45.960055,h,./0.png
26.9756783333333,45.96017,h,./0.png
26.9755033333333,45.96034,h,./0.png
26.975305,45.96047,h,./0.png
26.9751233333333,45.9605233333333,h,./0.png
26.9749633333333,45.9605833333333,h,./0.png
26.9747216666667,45.960745,h,./0.png
26.9744966666667,45.96087,h,./0.png
26.974275,45.9609433333333,h,./0.png
26.9740083333333,45.961,h,./0.png
26.97384,45.961005,h,./0.png
26.9736466666667,45.9611666666667,h,./0.png
26.9735216666667,45.96129,h liziera,./0.png
26.9733083333333,45.961385,h,./0.png
26.9731066666667,45.9614016666667,h,./0.png
26.9729116666667,45.9615033333333,h,./0.png
26.9726233333333,45.9616316666667,h,./0.png
26.9723916666667,45.9616516666667,h,./0.png
26.972185,45.961655,h,./0.png
26.9720233333333,45.961695,h,./0.png
26.9718016666667,45.9617733333333,h,./0.png
26.971465,45.961955,h limit iese in drum,./0.png
26.9711566666667,45.962085,borna 155 veche de beton,./0.png
26.9712716666667,45.962265,h gradina,./0.png
26.9713716666667,45.9623816666667,h gradina,./0.png
26.9712616666667,45.9626033333333,h gradina,./0.png
26.9711966666667,45.9628133333333,h gradina,./0.png
26.9711433333333,45.9629183333333,h gradina,./0.png
26.9710883333333,45.9631783333333,h gradina,./0.png
26.9711783333333,45.9633,h gradina,./0.png
26.971295,45.9634283333333,h gradina,./0.png
26.971455,45.96357,h gradina,./0.png
26.971535,45.9636766666667,h gradina,./0.png
26.9716133333333,45.96381,h gradina,./0.png
26.971595,45.9640333333333,h gradina,./0.png
26.9716933333333,45.964145,h gradina,./0.png
26.97171,45.9643633333333,h,./0.png
26.9717633333333,45.9645233333333,h,./0.png
26.9719333333333,45.9647466666667,h pasune,./0.png
26.9718216666667,45.9649733333333,borna veche,./0.png
26.9720783333333,45.9650833333333,h parau,./0.png
26.97215,45.9652683333333,h,./0.png
26.9724833333333,45.9653266666667,h,./0.png
26.972685,45.96543,h parau,./0.png
26.9729766666667,45.965575,h parau,./0.png
26.9729766666667,45.965715,h pasune,./0.png
26.9729516666667,45.9659216666667,h pasune,./0.png
26.9726716666667,45.9660916666667,h pasune,./0.png
26.9724933333333,45.9662816666667,h liziera,./0.png
26.9723933333333,45.9664816666667,h pasune,./0.png
26.9722933333333,45.9666233333333,h pasune,./0.png
26.9723666666667,45.96676,h,./0.png
26.9724433333333,45.9669466666667,h pasune,./0.png
26.972475,45.9670783333333,h pasune,./0.png
26.9723483333333,45.96714,h,./0.png
26.9721,45.9672016666667,h,./0.png
26.9722033333333,45.9674116666667,h,./0.png
26.972135,45.9675516666667,h,./0.png
26.9722433333333,45.9676833333333,h,./0.png
26.97199,45.9678883333333,h,./0.png
26.9717733333333,45.9680233333333,h,./0.png
26.9722733333333,45.967965,h,./0.png
26.97239,45.9681316666667,h,./0.png
26.9724233333333,45.9683416666667,h,./0.png
26.9724083333333,45.9686716666667,h,./0.png
26.97246,45.9689283333333,h,./0.png
26.9725566666667,45.96904,h,./0.png
26.97351,45.9690816666667,c2,./0.png
26.9725183333333,45.96927,h,./0.png
26.9724816666667,45.9693583333333,h,./0.png
26.9723916666667,45.9694466666667,h,./0.png
26.9721566666667,45.969395,h,./0.png
26.971765,45.969355,h parau,./0.png
26.9721366666667,45.96958,h parau,./0.png
26.972095,45.96976,h parau,./0.png
26.97218,45.96988,h parau,./0.png
26.9723566666667,45.9700716666667,h parau,./0.png
26.9725116666667,45.97027,h parau,./0.png
26.972475,45.970575,h parau,./0.png
26.9725933333333,45.970955,h,./0.png
26.9726366666667,45.9712816666667,h,./0.png
26.97289,45.97137,h pasune,./0.png
26.9731766666667,45.9715333333333,h pasune,./0.png
26.9734333333333,45.9715316666667,h pasune,./0.png
26.9737016666667,45.97179,h pasune,./0.png
26.973935,45.9719316666667,h pasune,./0.png
26.9740333333333,45.9720033333333,h pasune,./0.png
26.9743566666667,45.9722333333333,h pasune,./0.png
26.9746483333333,45.9723233333333,h,./0.png
26.9748766666667,45.9723933333333,h pasune,./0.png
26.975125,45.9724483333333,h prop,./0.png
26.97547,45.972325,h prop,./0.png
26.9757,45.9722633333333,h prop,./0.png
26.9761333333333,45.9722733333333,h prop,./0.png
26.9764633333333,45.9722566666667,h prop,./0.png
26.9773116666667,45.9721116666667,h prop,./0.png
26.9777266666667,45.9721883333333,h prop,./0.png
26.977735,45.97231,h prop,./0.png
26.9777316666667,45.972395,h prop,./0.png
26.9777083333333,45.9724833333333,h prop,./0.png
26.977855,45.9721916666667,h prop,./0.png
26.9779166666667,45.9720866666667,h [prop,./0.png
26.9781333333333,45.9720533333333,h prop,./0.png
26.97851,45.9720233333333,h prop,./0.png
26.9789266666667,45.971935,,./0.png
26.97912,45.9719316666667,h pasune,./0.png
26.9794433333333,45.9719466666667,h pasune,./0.png
26.97963,45.9717833333333,borna 146,./0.png
26.9797716666667,45.9716716666667,h pasune,./0.png
26.9801483333333,45.9718133333333,h pasune,./0.png
26.9803866666667,45.9715766666667,h prop,./0.png
26.9803966666667,45.97138,h prop,./0.png
26.980565,45.971135,h prop,./0.png
26.9803466666667,45.97114,h prop,./0.png
26.9801083333333,45.97095,h prop,./0.png
26.9798266666667,45.9708266666667,h pasune,./0.png
26.97957,45.970845,h pasune,./0.png
26.9791183333333,45.9706966666667,h pasune,./0.png
26.9788933333333,45.9706866666667,h pasune,./0.png
26.978555,45.9706916666667,h pasune,./0.png
26.97826,45.9707133333333,h pasune,./0.png
26.9779466666667,45.9707233333333,h pasune,./0.png
26.9777416666667,45.97068,h pasune,./0.png
26.977445,45.9707766666667,h,./0.png
26.977145,45.9706316666667,h,./0.png
26.9767833333333,45.9705466666667,h,./0.png
